id_sector,SECTOR,SECTOR_NOMBRE,FUNCION,FUNCION_NOMBRE,DIVISION_FUNCIONAL,DIVISION_FUNCIONAL_NOMBRE
1,01,PRESIDENCIA CONSEJO MINISTROS,5,ORDEN PUBLICO Y SEGURIDAD,6,GESTION
2,01,PRESIDENCIA CONSEJO MINISTROS,20,SALUD,6,GESTION
3,01,PRESIDENCIA CONSEJO MINISTROS,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",4,PLANEAMIENTO GUBERNAMENTAL
4,01,PRESIDENCIA CONSEJO MINISTROS,4,DEFENSA Y SEGURIDAD NACIONAL,13,DEFENSA Y SEGURIDAD NACIONAL
5,01,PRESIDENCIA CONSEJO MINISTROS,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
6,01,PRESIDENCIA CONSEJO MINISTROS,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",5,INFORMACION PUBLICA
7,01,PRESIDENCIA CONSEJO MINISTROS,17,AMBIENTE,6,GESTION
8,01,PRESIDENCIA CONSEJO MINISTROS,12,ENERGIA,10,EFICIENCIA DE MERCADOS
9,01,PRESIDENCIA CONSEJO MINISTROS,18,SANEAMIENTO,10,EFICIENCIA DE MERCADOS
10,01,PRESIDENCIA CONSEJO MINISTROS,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",9,CIENCIA Y TECNOLOGIA
11,01,PRESIDENCIA CONSEJO MINISTROS,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",10,EFICIENCIA DE MERCADOS
12,01,PRESIDENCIA CONSEJO MINISTROS,16,COMUNICACIONES,10,EFICIENCIA DE MERCADOS
13,01,PRESIDENCIA CONSEJO MINISTROS,15,TRANSPORTE,6,GESTION
14,03,CULTURA,21,CULTURA Y DEPORTE,45,CULTURA
15,03,CULTURA,21,CULTURA Y DEPORTE,6,GESTION
16,03,CULTURA,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
17,03,CULTURA,16,COMUNICACIONES,38,TELECOMUNICACIONES
18,03,CULTURA,22,EDUCACION,6,GESTION
19,04,PODER JUDICIAL,6,JUSTICIA,17,ADMINISTRACION DE JUSTICIA
20,04,PODER JUDICIAL,6,JUSTICIA,6,GESTION
21,05,AMBIENTAL,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
22,05,AMBIENTAL,17,AMBIENTE,11,TRANSFERENCIAS E INTERMEDIACION FINANCIERA
23,05,AMBIENTAL,17,AMBIENTE,6,GESTION
24,05,AMBIENTAL,17,AMBIENTE,16,GESTION DE RIESGOS Y EMERGENCIAS
25,05,AMBIENTAL,17,AMBIENTE,54,"DESARROLLO ESTRATEGICO, CONSERVACION Y APROVECHAMIENTO SOSTENIBLE DEL PATRIMONIO NATURAL"
26,06,JUSTICIA,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",12,IDENTIDAD Y CIUDADANIA
27,06,JUSTICIA,6,JUSTICIA,6,GESTION
28,06,JUSTICIA,6,JUSTICIA,17,ADMINISTRACION DE JUSTICIA
29,07,INTERIOR,5,ORDEN PUBLICO Y SEGURIDAD,6,GESTION
30,07,INTERIOR,5,ORDEN PUBLICO Y SEGURIDAD,14,ORDEN INTERNO
31,07,INTERIOR,20,SALUD,6,GESTION
32,08,RELACIONES EXTERIORES,2,RELACIONES EXTERIORES,2,SERVICIO DIPLOMATICO
33,08,RELACIONES EXTERIORES,2,RELACIONES EXTERIORES,6,GESTION
34,09,ECONOMIA Y FINANZAS,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
35,09,ECONOMIA Y FINANZAS,24,PREVISION SOCIAL,52,PREVISION SOCIAL
36,10,EDUCACION,22,EDUCACION,48,EDUCACION SUPERIOR
37,10,EDUCACION,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
38,10,EDUCACION,22,EDUCACION,6,GESTION
39,10,EDUCACION,22,EDUCACION,11,TRANSFERENCIAS E INTERMEDIACION FINANCIERA
40,10,EDUCACION,22,EDUCACION,4,PLANEAMIENTO GUBERNAMENTAL
41,10,EDUCACION,21,CULTURA Y DEPORTE,46,DEPORTES
42,10,EDUCACION,22,EDUCACION,47,EDUCACION BASICA
43,10,EDUCACION,16,COMUNICACIONES,38,TELECOMUNICACIONES
44,10,EDUCACION,22,EDUCACION,50,ASISTENCIA EDUCATIVA
45,10,EDUCACION,22,EDUCACION,9,CIENCIA Y TECNOLOGIA
46,10,EDUCACION,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",4,PLANEAMIENTO GUBERNAMENTAL
47,11,SALUD,20,SALUD,44,SALUD INDIVIDUAL
48,11,SALUD,24,PREVISION SOCIAL,6,GESTION
49,11,SALUD,20,SALUD,43,SALUD COLECTIVA
50,11,SALUD,20,SALUD,6,GESTION
51,11,SALUD,20,SALUD,10,EFICIENCIA DE MERCADOS
52,12,TRABAJO Y PROMOCION DEL EMPLEO,7,TRABAJO,6,GESTION
53,12,TRABAJO Y PROMOCION DEL EMPLEO,7,TRABAJO,20,TRABAJO
54,12,TRABAJO Y PROMOCION DEL EMPLEO,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",4,PLANEAMIENTO GUBERNAMENTAL
55,13,AGRICULTURA,10,AGROPECUARIA,6,GESTION
56,13,AGRICULTURA,10,AGROPECUARIA,10,EFICIENCIA DE MERCADOS
57,13,AGRICULTURA,10,AGROPECUARIA,4,PLANEAMIENTO GUBERNAMENTAL
58,13,AGRICULTURA,10,AGROPECUARIA,9,CIENCIA Y TECNOLOGIA
59,13,AGRICULTURA,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",4,PLANEAMIENTO GUBERNAMENTAL
60,13,AGRICULTURA,10,AGROPECUARIA,25,RIEGO
61,13,AGRICULTURA,10,AGROPECUARIA,23,AGRARIO
62,13,AGRICULTURA,10,AGROPECUARIA,54,"DESARROLLO ESTRATEGICO, CONSERVACION Y APROVECHAMIENTO SOSTENIBLE DEL PATRIMONIO NATURAL"
63,13,AGRICULTURA,10,AGROPECUARIA,51,ASISTENCIA SOCIAL
64,16,ENERGIA Y MINAS,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
65,16,ENERGIA Y MINAS,13,MINERIA,6,GESTION
66,16,ENERGIA Y MINAS,12,ENERGIA,28,ENERGIA ELECTRICA
67,16,ENERGIA Y MINAS,12,ENERGIA,11,TRANSFERENCIAS E INTERMEDIACION FINANCIERA
68,19,CONTRALORIA GENERAL,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",4,PLANEAMIENTO GUBERNAMENTAL
69,20,DEFENSORIA DEL PUEBLO,6,JUSTICIA,12,IDENTIDAD Y CIUDADANIA
70,21,JUNTA NACIONAL DE JUSTICIA,6,JUSTICIA,6,GESTION
71,22,MINISTERIO PUBLICO,6,JUSTICIA,17,ADMINISTRACION DE JUSTICIA
72,24,TRIBUNAL CONSTITUCIONAL,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",18,SEGURIDAD JURIDICA
73,26,DEFENSA,4,DEFENSA Y SEGURIDAD NACIONAL,13,DEFENSA Y SEGURIDAD NACIONAL
74,26,DEFENSA,4,DEFENSA Y SEGURIDAD NACIONAL,6,GESTION
75,26,DEFENSA,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",4,PLANEAMIENTO GUBERNAMENTAL
76,26,DEFENSA,5,ORDEN PUBLICO Y SEGURIDAD,16,GESTION DE RIESGOS Y EMERGENCIAS
77,26,DEFENSA,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
78,27,FUERO MILITAR POLICIAL,6,JUSTICIA,17,ADMINISTRACION DE JUSTICIA
79,28,CONGRESO DE LA REPUBLICA,1,LEGISLATIVA,6,GESTION
80,31,JURADO NACIONAL DE ELECCIONES,3,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",6,GESTION
