id_ubigeo,DEPARTAMENTO_EJECUTORA,DEPARTAMENTO_EJECUTORA_NOMBRE,PROVINCIA_EJECUTORA,PROVINCIA_EJECUTORA_NOMBRE,DISTRITO_EJECUTORA,DISTRITO_EJECUTORA_NOMBRE
1,8,CUSCO,9,LA CONVENCION,10,UNIDAD DE GESTION DE APOYO AL DESARROLLO SOSTENIBLE DEL VRAEM
2,15,LIMA,1,LIMA,1,AUTORIDAD PARA LA RECONSTRUCCION CON CAMBIOS - RCC
3,15,LIMA,1,LIMA,1,COMISION NAC. PARA EL DESARROLLO Y VIDA SIN DROGAS  - DEVIDA
4,15,LIMA,1,LIMA,1,DESPACHO PRESIDENCIAL
5,15,LIMA,1,LIMA,1,SECRETARIA GENERAL - PCM
6,15,LIMA,1,LIMA,4,DIRECCION  NACIONAL DE INTELIGENCIA- DINI
7,15,LIMA,1,LIMA,13,AUTORIDAD NACIONAL DE SERVICIO CIVIL
8,15,LIMA,1,LIMA,13,INSTITUTO NACIONAL DE ESTADISTICA E INFORMATICA- INEI
9,15,LIMA,1,LIMA,20,ORGANISMO DE SUPERVISION DE LOS RECURSOS FORESTALES Y DE FAUNA SILVESTRE- OSINFOR
10,15,LIMA,1,LIMA,20,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA
11,15,LIMA,1,LIMA,20,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO
12,15,LIMA,1,LIMA,22,BICENTENARIO DE LA INDEPENDENCIA DEL PERU
13,15,LIMA,1,LIMA,22,"FONDO NACIONAL DE DESARROLLO CIENTIFICO, TECNOLOGICO Y DE INNOVACION TECNOLOGICA- FONDECYT"
14,15,LIMA,1,LIMA,30,"CONSEJO NACIONAL DE CIENCIA,  TECNOLOGIA E INNOVACION TECNOLOGICA - CONCYTEC"
15,15,LIMA,1,LIMA,30,INST.NAC. DE DEFENSA DE LA COMPETENCIA Y PROTEC.DE LA  PROP. INTELECTUAL - INDECOPI
16,15,LIMA,1,LIMA,30,ORGANISMO SUPERVISOR DE LA INVERSION PRIVADA EN TELECOMUNICACIONES
17,15,LIMA,1,LIMA,31,CENTRO NACIONAL DE PLANEAMIENTO ESTRATEGICO- CEPLAN
18,15,LIMA,1,LIMA,41,ORGANISMO SUPERVISOR DE LA INVERSION EN INFRAESTRUCTURA DE TRANSPORTE DE USO PUBLICO
